Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Repeaters, primary, female (% of female enrollment)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.11547,,,,,,,23.81143951,24.63631058,23.6128006,21.37375069,21.80562019,21.80563927,23.33529091,20.36154938,19.72982025,16.73360062,14.41228008,13.99275017,11.82851982,11.82192993,10.95069981,10.09642982,
"Repeaters, primary, male (% of male enrollment)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.13177,,,,,,,22.22604942,25.00182915,24.30129051,21.78017998,21.58389091,21.5838604,22.89867973,20.75115967,19.11010933,16.77239037,14.65633965,14.14414024,12.12170982,11.9133997,11.16077995,10.33743,
"Repeaters, primary, total (% of total enrollment)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1774,,,27.35922,26.59417,,,,,,,22.89053917,24.84602928,23.99770927,21.59811974,21.68453979,21.68454933,23.1007309,20.56645012,19.40949059,16.75342941,14.53561974,14.0683403,11.97402,11.86727047,11.05475044,10.21533966,
"Trained teachers in primary education, female (% of female teachers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19814014,,13.57287025,12.23645973,13.49330044,14.7866497,27.04472923,,56.84566116,65.69982147,,72.44695282,79.85137177,92.31430054,91.91172028,93.09655762,
"Trained teachers in primary education, male (% of male teachers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.10483932,,15.98025036,15.50835991,17.32423019,18.45492935,32.00828934,,63.48852158,66.841362,,74.4576416,81.37017822,92.73803711,92.37963104,93.92754364,
Trained teachers in primary education (% of total teachers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00032997,,15.37102032,14.68150997,16.22720909,17.38607979,30.51446915,,61.3603096,66.43615723,,73.6608963,80.72852325,92.55902863,92.1852417,93.58152008,
"Primary education, teachers",,,,,,,,,,,17988,,20467,20084,17526,18874,20775,23395,24652,26384,27805,29134,32259,38131,46484,51266,53405,55207,57204,63945,71213,74495,77948,79590,81544,82645,89378,91464,,91878,99382,97879,96659,110173,112360,101483,,112827,116846,143574,153536,167216,173714,178534,183922,
"Primary education, teachers (% female)",,,,,,,,,,,,,,,,,8.21179,7.95042,,9.78623,9.64215,,,9.18675,,,,,10.78421,,,13.70025,14.99076,16.04599,,,,,,22.51029015,23.7548008,25.30676079,25.27131081,28.63586998,29.13759041,30.09568024,,32.03754044,35.49544144,38.61074829,39.62522888,42.24774933,42.24356842,41.54335022,41.63993073,
"Adjusted net enrollment rate, primary (% of primary school age children)",,,,,,,,,,,,,,,,,,,,,,,,61.39774,62.86924,,,,69.7318,,,,,,,,,,,69.26970673,76.3106308,,,84.81887054,84.90605927,,,,,,,96.94972229,97.6253891,98.66609955,,
"Adjusted net enrollment rate, primary, female (% of primary school age children)",,,,,,,,,,,,,,,,,,,,,,,,35.8916,38.1771,,,,45.38697,,,,,,,,,,,60.17943954,67.99256897,,,78.60623932,78.95516968,,,,,,,96.42021942,97.35021973,,,
"Adjusted net enrollment rate, primary, male (% of primary school age children)",,,,,,,,,,,,,,,,,,,,,,,,85.5496,86.24031,,,,93.04265,,,,,,,,,,,77.94931793,84.26959991,,,90.74088287,90.54221344,,,,,,,97.44500732,97.88361359,,,
"Children out of school, primary",,,,,,,,,,,,,,,,,,,,,,,,765872,756383,,,,682837,,,,,,,,,,,905936,708717,,,489022,497707,,,,,,,105685,81526,45137,,
"Children out of school, primary, female",,,,,,,,,,,,,,,,,,,,,,,,618614,612383,,,,602657,,,,,,,,,,,573395,468222,,,336321,337541,,,,,,,59945,44041,,,
"Children out of school, primary, male",,,,,,,,,,,,,,,,,,,,,,,,147258,144000,,,,80180,,,,,,,,,,,332541,240495,,,152701,160166,,,,,,,45740,37485,,,
Lower secondary school starting age (years),,,,,,,,,,,11,11,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,
"Lower secondary completion rate, female (% of relevant age group)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.46287,,,,,,,32.02180099,35.51541138,37.48031998,41.29927826,42.81003189,,,,,60.7808609,,70.72242737,72.1672821,78.7627182,83.17346191,86.0705719,
"Lower secondary completion rate, male (% of relevant age group)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.66995,,,,,,,48.40893936,51.96992874,57.27095032,58.52315903,57.02748871,,,,,67.55619812,,71.34671783,70.65302277,75.18894196,77.73898315,79.40670776,
"Lower secondary completion rate, total (% of relevant age group)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.76057,,,35.96229,38.9042,,,,,,,40.28004837,43.78773117,47.45985031,49.95005035,49.9683609,,,,,64.2071228,,71.0404892,71.39138794,76.93160248,80.39286041,82.65917969,
"Secondary education, duration (years)",,,,,,,,,,,5,5,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
"Secondary education, pupils",,,,,,,,,,,,,222867,250868,258365,281816,262748,308797,370231,449038,512434,313895,370082,418085,455401,496921,540049,579517,612943,664016,708663,773808,855137,910114,944509,1016443,1121335,,,1265458,1348212,1501503,1690198,1822063,,2054165,1983561,1998990,2305166,2365251,2675217,2830263,3014587,3088755,3140613,
"Secondary education, pupils (% female)",,,,,,,,,,,,,16.61664,13.90173,14.23645,14.35653,17.48139,17.93606,17.87911,19.23802,20.00297,19.633,20.5368,21.77572,22.94879,22.77263,24.23021,25.24206,26.79352,27.7668,28.96835,30.07749,31.83548,33.0063,34.42604,35.92499,37.44724,,,39.6112709,40.06238937,40.21477127,40.97827911,41.86973953,,44.71038055,45.46490097,46.21894073,46.73112106,46.66109085,48.96717072,49.64337158,50.34659958,50.51475143,50.65879822,
"Secondary education, general pupils",,,,,,,,,,,115614,,216625,233817,243463,,243231,285154,,,,,,,,,,,,,,,,,,,,1172801,,1236996,1329749,1480647,1669652,1806355,1721151,2032563,1961973,1980522,2290113,2365251,2675216,2830263,3014587,3088755,3140613,
"Secondary education, general pupils (% female)",,,,,,,,,,,13.68692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.23683167,40.32527924,40.49769974,41.23482132,42.04085159,43.67002106,44.9496994,45.72097015,46.44295883,47.03828812,46.66109085,48.96722031,49.64337158,50.34659958,50.51475143,50.65879822,
"Pupil-teacher ratio, secondary",,,,,,,,,,,,,36.09767,37.25394,29.5646,28.33176,23.26233,24.82491,27.70361,30.33836,31.29177,18.29865,22.49192,26.27813,26.68,27.06247,24.78995,28.04748,29.00544,29.57492,31.05447,31.41475,33.7239,34.60115,32.014,32.36461,31.0387,,,31.70700073,30.21541977,33.09243011,29.04619026,34.68746185,,,,,40.94869995,36.96109009,31.98871994,29.70095062,29.56405067,29.17635918,28.83333015,
"Secondary education, vocational pupils",,,,,,,,,,,,,6242,17051,14902,,19517,23643,,,,,,,,,,,,,,,,,,,,,,28462,18463,20856,20546,15708,,21602,21588,18469,15053,,,,,,0,
"Secondary education, vocational pupils (% female)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42358017,21.12874031,20.12849998,20.13043976,22.1925106,,22.19239044,22.19288063,22.19395065,,,,,,,,
"School enrollment, secondary (% gross)",,,,,,,,,,,,,11.73717,12.89907,12.95598,13.77924,12.53533,14.39984,16.84952,19.92825,22.17658,19.06778,21.9885,24.26899,25.80219,27.46033,29.10355,30.55063,31.55851,33.33288,34.61367,36.70429,39.34579,40.64557,40.98485,42.92593,46.18641,,,35.59495926,36.97789001,40.18238068,44.92560959,46.51453018,,50.4956398,47.65679169,47.36034012,53.83766937,54.38557816,60.43872833,62.72808838,65.8197937,66.59033203,66.9919281,
"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,4.02355,3.69612,3.79915,4.07227,4.50878,5.31199,6.194,7.88054,9.1162,7.69227,9.28047,10.86714,12.18235,12.86471,14.49411,15.81603,17.2966,18.89919,20.49177,22.6615,25.81493,27.76751,29.28791,31.97054,35.60304,,,28.33230972,29.63875008,32.35684967,36.6593399,38.9745903,,45.36772156,43.65325928,43.99979019,50.50305176,50.95597839,59.56787872,62.93560028,67.14823151,68.31568909,69.07707214,
"School enrollment, secondary, male (% gross)",,,,,,,,,,,,,18.99349,21.57134,21.59655,22.94931,20.12518,22.99998,26.93933,31.342,34.55536,29.8524,34.03239,36.95625,38.68292,41.26596,42.94661,44.57104,45.19882,47.18549,48.14484,50.04379,52.09967,52.68347,51.858,53.13441,56.18478,,,42.78969955,44.31192017,47.98939133,53.26441956,54.04534912,,55.57537079,51.60223007,50.68732071,57.14794159,57.78807068,61.29861069,62.52484131,64.52541351,64.91670227,64.97812653,
"School enrollment, secondary (% net)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.61119843,50.01087189,,52.23791885,56.47225952,59.07025146,59.80680084,60.23308182,
"School enrollment, secondary, female (% net)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.51760101,46.97055817,,51.08895111,56.52386856,60.09579849,61.1473999,62.16267014,
"School enrollment, secondary, male (% net)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.67388153,53.02898026,,53.37239838,56.42171097,58.07099152,58.50640106,58.36951828,
"School enrollment, secondary, private (% of total secondary)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.90952969,16.59272957,27.77132034,,26.72813988,,,14.36264992,,,,,,18.19849014,
"Progression to secondary school, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.87348,,,,,,,79.55973053,81.102211,88.01673126,85.39936829,82.86271667,,,,87.9980011,,,,,86.48812103,86.90904236,,
"Progression to secondary school, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.73503,,,,,,,81.07095337,78.61395264,91.04241943,89.82003021,87.7962265,,,,87.86107635,,,,,85.9419632,88.12634277,,
Progression to secondary school (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.16233,,,75.20835,78.65993,,,,,,,80.44303131,79.65373993,89.72345734,87.89453125,85.60561371,,,,87.92562103,,,,,86.21871185,87.51016235,,
"Repeaters, secondary, female (% of female enrollment)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.68669987,9.781900406,9.002249718,9.596819878,12.88465977,16.73117065,,11.95674992,8.93572998,7.706429958,7.761229992,5.705739975,4.82528019,4.24875021,4.210149765,3.877379894,
"Repeaters, secondary, male (% of male enrollment)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3803997,8.145560265,8.035810471,8.409930229,10.81313992,15.13247967,,11.26646042,8.328960419,7.286359787,7.05366993,5.547019958,4.534860134,3.922450066,3.915009975,3.736219883,
"Repeaters, secondary, total (% of total enrollment)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.90602016,8.805419922,8.427189827,8.899339676,11.68402958,15.8306303,,11.58207035,8.610759735,7.483950138,7.38383007,5.624740124,4.679039955,4.086730003,4.064099789,3.807729959,
"Secondary education, teachers",,,,,,,,,,,,,6174,6734,8739,9947,11295,12439,13364,14801,16376,17154,16454,15910,17069,18362,21785,20662,21132,22452,22820,24632,25357,26303,29503,31406,36127,,,39911,44620,45373,58190,52528,,,,,56294,63993,83630,95292,101968,105865,108923,
"Secondary education, teachers, female",,,,,,,,,,,,,,,,,,1126,,1451,1498,,,1462,1490,,,,1752,,,2423,2969,,,,4210,,,3785,4923,4539,7976,7112,,,,,8358,13424,15137,19750,22000,23098,23788,
"Secondary education, teachers (% female)",,,,,,,,,,,,,,,,,,9.05217,,9.80339,9.14753,,,9.18919,8.72928,,,,8.29074,,,9.8368,11.7088,,,,11.65333,,,9.483599663,11.03316975,10.00374985,13.70681953,13.53944969,,,,,14.84704971,20.9772892,18.09996033,20.72577095,21.5753994,21.81834984,21.83927917,
"School enrollment, tertiary (% gross)",,,,,,,,,,,,,,,1.82416,1.92085,1.55172,1.97776,2.42916,2.85938,,3.6184,3.58799,3.24562,3.64604,3.48236,4.89062,5.08758,5.68878,5.96092,5.33527,6.10113,5.5359,5.28044,4.88787,4.46541,4.92096,,,,4.350540161,4.6635499,5.384230137,5.444910049,6.400109768,8.060150146,8.540789604,10.3997097,11.30562973,11.21704006,14.3648901,14.49028969,,17.22529984,,
"School enrollment, tertiary, female (% gross)",,,,,,,,,,,,,,,,,0.65313,0.88668,0.98074,,,,,1.32013,,,,,,2.43528,2.50018,2.95971,,,,,,,,,2.323479891,,2.103909969,2.497499943,3.344399929,5.653220177,5.875710011,,8.604820251,8.502400398,11.10169029,11.41958046,,15.53962994,,
"School enrollment, tertiary, male (% gross)",,,,,,,,,,,,,,,,,2.39052,2.99862,3.78743,,,,,5.07188,,,,,,9.3941,8.0907,9.12316,,,,,,,,,6.509250164,,9.039899826,8.717189789,9.815600395,10.75061989,11.50434971,,14.26107025,14.2016201,17.9860096,17.93136978,,19.10757065,,
"Tertiary education, academic staff (% female)",,,,,,,,,,,,,,,,,,,18.69321,,16.44962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Current education expenditure, primary (% of total expenditure in primary public institutions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Current education expenditure, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All education staff compensation, primary (% of total expenditure in primary public institutions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All education staff compensation, secondary (% of total expenditure in secondary public institutions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All education staff compensation, tertiary (% of total expenditure in tertiary public institutions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All education staff compensation, total (% of total expenditure in public institutions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Government expenditure per student, primary (% of GDP per capita)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.636400223,9.826820374,13.13710022,11.45983982,10.78983021,,,,,13.93978024,16.12062073,,,,,,
Expenditure on primary education (% of government expenditure on education),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.20334,48.29228973,55.02941132,55.36180115,59.21355057,56.47100067,,,,,62.37919998,62.97431946,,,,,,
"Government expenditure per student, secondary (% of GDP per capita)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49361992,10.99442959,13.07048035,10.18268967,9.091039658,,,,,10.35058975,12.16796017,,,,,,
Expenditure on secondary education (% of government expenditure on education),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.79511,24.64160919,21.95759964,22.82665062,23.07670975,22.0668602,,,,,24.16327095,23.50926018,,,,,,
"Government expenditure per student, tertiary (% of GDP per capita)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.599823,99.39199066,75.23267365,61.83045959,,,,,46.63085938,50.71120834,35.39292145,,,,,
Expenditure on tertiary education (% of government expenditure on education),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.95528,18.44973946,18.82241058,11.94081974,12.07162952,10.28110981,,,,,13.45753002,11.98227024,10.65270996,,,,,
"Government expenditure on education, total (% of government expenditure)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.11359024,21.61894035,20.42634964,21.30217934,21.60618019,22.2768898,25.48504066,21.12866974,22.11482048,19.84753036,20.81352043,,,21.39801979,,
"Government expenditure on education, total (% of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89288,2.89331007,2.975150108,3.708379984,3.152829885,3.11435008,3.171940088,3.364639997,3.605360031,3.517210007,3.805170059,4.663760185,4.716989994,,,4.087470055,,
"Female legislators, senior officials and managers (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333,,13.8356771,,,,,,,18.30985915,,,,,,,
Proportion of seats held by women in national parliaments (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,3.4,3.4,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,17.3,33.2,33.2,33.2,33.2,33.2,33.2,29.5,29.54924875
Women who believe a husband is justified in beating his wife when she argues with him (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,8.2,,,,,,,,,
Women who believe a husband is justified in beating his wife when she burns the food (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,,,,,,,,,
Women who believe a husband is justified in beating his wife when she goes out without telling him (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,8.8,,,,,,,,,
Women who believe a husband is justified in beating his wife when she neglects the children (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,19.9,,,,,,,,,
Women who believe a husband is justified in beating his wife (any of five reasons) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women who believe a husband is justified in beating his wife when she refuses sex with him (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,2.5,,,,,,,,,
Prevalence of anemia among children (% of children under 5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1,72.5,71.9,71.3,70.6,69.8,68.9,67.9,66.9,65.8,64.8,63.7,62.6,61.5,60.4,59.2,57.7,56.4,55,53.6,52.2,50.8,,,,
Prevalence of anemia among non-pregnant women (% of women ages 15-49),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8,57.9,56.9,55.9,54.9,53.9,52.9,51.7,50.4,49,47.5,45.9,44.4,43.1,41.8,40.6,39.6,38.6,37.7,36.9,36.1,35.6,,,,
"Condom use, population ages 15-24, female (% of females ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,8.5,,,,
"Condom use, population ages 15-24, male (% of males ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,23.9,,,,,36,,,,
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,,,,,,,,,,,,29.8,,,
Number of infant deaths,86011,85254,86006,87585,89148,90016,89468,88698,87786,87033,86528,85788,85351,85042,84920,84857,84709,84561,84363,84057,83562,82590,81489,80272,78966,77523,75843,74100,72245,70387,68380,66080,63914,61745,59587,57315,55233,53139,50865,48249,45435,42627,39581,36683,33948,31481,29435,27626,25976,24384,22799,21071,19450,17990,16885,16144
"Cause of death, by injury (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,10.6,,,
Number of under-five deaths,134608,132740,132641,133717,134755,135054,134493,133273,131772,130458,129616,129073,128443,127870,127364,127100,126962,126555,125921,124955,123833,122504,120668,118574,116238,113771,111053,107910,104598,101245,97907,94264,90646,87008,83461,79912,76595,73273,69584,65685,61512,57405,53153,48970,45008,41556,38417,35795,33375,31105,28848,26597,24390,22480,21017,19900
"Cause of death, by non-communicable diseases (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,,,,,,,,,,,,59.6,,,
Number of neonatal deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41341,40223,39179,38173,37090,35897,34889,33861,32834,31588,30187,28629,27051,25328,23727,22249,21031,19927,18952,17901,16869,15679,14595,13580,12800,12252
Women's share of population ages 15+ living with HIV (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.917936866,6.382978723,7.37704918,6.948640483,7.317073171,7.524985303,7.724137931,7.951153324,8.955676988,10.67103935,12.58893734,14.49034604,16.12083874,17.46199986,18.83951442,20.42252011,22.32079717,24.04506021,25.8069471,27.65645776,29.2643849,30.6487642,31.9903384,33.28676394,34.45454789,
"Prevalence of HIV, total (% of population ages 15-49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,
"Mortality rate, under-5 (per 1,000 live births)",327.1,323,318.1,312.6,306.5,300,293.1,286.3,279.8,273.6,267.6,261.8,256.2,250.8,245.3,239.8,234.2,228.3,222.2,215.8,209.4,202.9,196.3,189.8,183.2,176.5,169.5,162.3,155.1,147.9,140.7,133.6,126.7,120,113.7,107.7,101.8,96.3,90.8,85.6,80.6,75.9,71.5,67.4,63.5,60,56.6,53.6,50.7,48,45.4,43.1,40.9,39,37.4,35.8
"Mortality rate, under-5, female (per 1,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.2,,,,,,,,,,79.1,,,,,,,,,,43.2,,,,,33.6
"Mortality rate, under-5, male (per 1,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.1,,,,,,,,,,82.1,,,,,,,,,,47.6,,,,,37.9
"Mortality rate, neonatal (per 1,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5,56.2,54,51.9,49.8,47.7,45.8,44,42.4,40.8,39.3,37.8,36.5,35.1,33.8,32.5,31.3,30.1,29,27.8,26.7,25.6,24.7,23.8,23,22.2
"Improved water source, rural (% of rural population with access)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9,64.1,65.2,66.4,67.6,68.7,69.9,71,72.2,73.3,74.5,75.6,76.8,77.9,79.1,80.2,81.4,82.5,83.7,84.9,86,87.2,88.3,89.5,90.6,91.8
"Improved water source, urban (% of urban population with access)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5,96.3,96.1,95.8,95.6,95.4,95.2,94.9,94.7,94.5,94.3,94,93.8,93.6,93.4,93.1,92.9,92.7,92.5,92.2,92,91.8,91.6,91.3,91.1,90.9
Improved water source (% of population with access),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.9,67,68.2,69.3,70.5,71.6,72.7,73.8,75,76,77.1,78.2,79.2,80.2,81.2,82.2,83.2,84.1,85.1,86.1,87,88,88.9,89.8,90.7,91.6
Children (0-14) living with HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,200,500,500,1000,1000,1000,1100,1200,1400,1500,1600,1700,1800,1900,1900,2000,
"Prevalence of HIV, female (% ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
"Prevalence of HIV, male (% ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
Antiretroviral therapy coverage (% of people living with HIV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,5,8,11,15,18,22,27,
"Immunization, DPT (% of children ages 12-23 months)",,,,,,,,,,,,,,,,,,,,,8,16,18,23,27,32,38,46,45,44,43,46,49,51,54,54,65,78,71,65,74,72,72,78,80,75,89,82,82,89,82,92,90,92,92,
"Immunization, measles (% of children ages 12-23 months)",,,,,,,,,,,,,,,,,,,,,,2,2,11,24,34,37,37,58,57,57,57,58,58,58,56,65,73,67,81,71,71,71,75,73,74,85,81,79,90,86,88,86,88,88,
"Hospital beds (per 1,000 people)",0.115763798,,,,,,,,,,0.135299996,,,,,0.137700006,,,,,0.175600007,,,,,0.180199996,,0.226999998,0.239800006,0.244299993,0.243599996,0.237200007,0.242599994,0.238700002,0.232299998,0.170000002,0.159999996,0.170000002,,0.200000003,,0.2,0.15,,,,5,,,,,,,,,
"Community health workers (per 1,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,
"Nurses and midwives (per 1,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,
"Physicians (per 1,000 people)",0.013009452,,,,,0.020759962,,,,,0.0186,,,,,0.018999999,,,,,0.033500001,,,,0.031399999,0.0341,,0.050999999,0.050799999,0.0537,0.050700001,0.062100001,0.0757,0.073700003,,0.04,0.04,0.04,0.04,,,0.052,,,0.209,,,,,,,,,,,
Use of insecticide-treated bed nets (% of under-5 population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.6,,,,
Number of maternal deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600,6300,5900,5600,5300,5100,4900,4700,4600,4400,4200,4000,3700,3500,3300,3100,2900,2700,2500,2300,2200,2000,1800,1700,1600,1500
Lifetime risk of maternal death (1 in: rate varies by country),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,22,24,26,28,30,32,34,36,38,41,44,48,51,56,60,65,71,79,87,96,110,120,130,140,150
Lifetime risk of maternal death (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.825322419,4.533768144,4.222715783,3.895652381,3.599916435,3.372764943,3.15713724,2.974829612,2.794964844,2.604935306,2.42074617,2.260089094,2.095579476,1.941835855,1.796920006,1.670628797,1.532209815,1.4011071,1.271188812,1.152466924,1.042085031,0.935936568,0.841958117,0.768425855,0.704186988,0.647685538
Prevalence of anemia among pregnant women (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,59,58.9,58.9,58.7,58.6,58.3,57.9,57.3,56.6,55.8,54.8,53.7,52.5,51.3,50,48.8,47.7,46.7,45.8,45,44.3,,,,
"Smoking prevalence, females (% of adults)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,,,,,23.5,,,,,16.1,,13.9,,,
"Smoking prevalence, males (% of adults)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6,,,,,42.5,,,,,39.7,,38.7,,,
